Index ,FLAT ,SR     ,LYH ,SR     ,YL ,SR
    1 ,   0 ,0.00%  ,  0 ,0.00%  , 0 ,0.00%
    2 ,   1 ,50.00% ,  1 ,50.00% , 0 ,0.00%
    3 ,   2 ,66.67% ,  1 ,33.33% , 1 ,33.33%
    4 ,   3 ,75.00% ,  2 ,50.00% , 2 ,50.00%
    5 ,   3 ,60.00% ,  2 ,40.00% , 2 ,40.00%
    6 ,   4 ,66.67% ,  3 ,50.00% , 3 ,50.00%
    7 ,   4 ,57.14% ,  4 ,57.14% , 4 ,57.14%
    8 ,   5 ,62.50% ,  4 ,50.00% , 5 ,62.50%
    9 ,   5 ,55.56% ,  4 ,44.44% , 5 ,55.56%
   10 ,   5 ,50.00% ,  4 ,40.00% , 5 ,50.00%
   11 ,   5 ,45.45% ,  4 ,36.36% , 5 ,45.45%
   12 ,   5 ,41.67% ,  4 ,33.33% , 5 ,41.67%
   13 ,   5 ,38.46% ,  5 ,38.46% , 6 ,46.15%
   14 ,   5 ,35.71% ,  5 ,35.71% , 7 ,50.00%
   15 ,   5 ,33.33% ,  6 ,40.00% , 7 ,46.67%
   16 ,   6 ,37.50% ,  7 ,43.75% , 8 ,50.00%
   17 ,   7 ,41.18% ,  8 ,47.06% , 9 ,52.94%
   18 ,   8 ,44.44% ,  9 ,50.00% , 9 ,50.00%
   19 ,   9 ,47.37% , 10 ,52.63% ,10 ,52.63%
   20 ,   9 ,45.00% , 11 ,55.00% ,11 ,55.00%
   21 ,  10 ,47.62% , 12 ,57.14% ,12 ,57.14%
   22 ,  11 ,50.00% , 12 ,54.55% ,13 ,59.09%
   23 ,  12 ,52.17% , 12 ,52.17% ,13 ,56.52%
   24 ,  13 ,54.17% , 13 ,54.17% ,14 ,58.33%
   25 ,  13 ,52.00% , 13 ,52.00% ,14 ,56.00%
   26 ,  13 ,50.00% , 13 ,50.00% ,14 ,53.85%
   27 ,  13 ,48.15% , 13 ,48.15% ,14 ,51.85%
   28 ,  13 ,46.43% , 14 ,50.00% ,15 ,53.57%
   29 ,  14 ,48.28% , 14 ,48.28% ,16 ,55.17%
   30 ,  14 ,46.67% , 14 ,46.67% ,16 ,53.33%
   31 ,  15 ,48.39% , 15 ,48.39% ,17 ,54.84%
   32 ,  15 ,46.88% , 16 ,50.00% ,18 ,56.25%
   33 ,  16 ,48.48% , 17 ,51.52% ,18 ,54.55%
   34 ,  16 ,47.06% , 18 ,52.94% ,19 ,55.88%
   35 ,  17 ,48.57% , 18 ,51.43% ,20 ,57.14%
   36 ,  17 ,47.22% , 19 ,52.78% ,20 ,55.56%
   37 ,  18 ,48.65% , 20 ,54.05% ,21 ,56.76%
   38 ,  18 ,47.37% , 20 ,52.63% ,22 ,57.89%
   39 ,  18 ,46.15% , 20 ,51.28% ,22 ,56.41%
   40 ,  18 ,45.00% , 20 ,50.00% ,22 ,55.00%
   41 ,  18 ,43.90% , 20 ,48.78% ,22 ,53.66%
   42 ,  18 ,42.86% , 20 ,47.62% ,22 ,52.38%
   43 ,  18 ,41.86% , 20 ,46.51% ,22 ,51.16%
   44 ,  19 ,43.18% , 21 ,47.73% ,23 ,52.27%
   45 ,  20 ,44.44% , 21 ,46.67% ,24 ,53.33%
   46 ,  20 ,43.48% , 21 ,45.65% ,25 ,54.35%
   47 ,  20 ,42.55% , 21 ,44.68% ,26 ,55.32%
   48 ,  20 ,41.67% , 22 ,45.83% ,26 ,54.17%
   49 ,  21 ,42.86% , 23 ,46.94% ,27 ,55.10%
   50 ,  21 ,42.00% , 24 ,48.00% ,27 ,54.00%
   51 ,     ,       , 25 ,49.02% ,   ,
   52 ,     ,       , 25 ,48.08% ,   ,
   53 ,     ,       , 26 ,49.06% ,   ,
   54 ,     ,       , 26 ,48.15% ,   ,
   55 ,     ,       , 27 ,49.09% ,   ,
   56 ,     ,       , 28 ,50.00% ,   ,
   57 ,     ,       , 28 ,49.12% ,   ,
   58 ,     ,       , 28 ,48.28% ,   ,
   59 ,     ,       , 29 ,49.15% ,   ,
   60 ,     ,       , 30 ,50.00% ,   ,
   61 ,     ,       , 31 ,50.82% ,   ,
   62 ,     ,       , 31 ,50.00% ,   ,
   63 ,     ,       , 32 ,50.79% ,   ,
   64 ,     ,       , 32 ,50.00% ,   ,
   65 ,     ,       , 33 ,50.77% ,   ,
   66 ,     ,       , 34 ,51.52% ,   ,
   67 ,     ,       , 35 ,52.24% ,   ,
   68 ,     ,       , 36 ,52.94% ,   ,
   69 ,     ,       , 36 ,52.17% ,   ,
   70 ,     ,       , 37 ,52.86% ,   ,
   71 ,     ,       , 37 ,52.11% ,   ,
   72 ,     ,       , 38 ,52.78% ,   ,
   73 ,     ,       , 39 ,53.42% ,   ,
   74 ,     ,       , 39 ,52.70% ,   ,
   75 ,     ,       , 40 ,53.33% ,   ,
   76 ,     ,       , 41 ,53.95% ,   ,
   77 ,     ,       , 41 ,53.25% ,   ,
   78 ,     ,       , 42 ,53.85% ,   ,
   79 ,     ,       , 42 ,53.16% ,   ,
   80 ,     ,       , 43 ,53.75% ,   ,
   81 ,     ,       , 44 ,54.32% ,   ,
   82 ,     ,       , 44 ,53.66% ,   ,
   83 ,     ,       , 45 ,54.22% ,   ,
   84 ,     ,       , 45 ,53.57% ,   ,
   85 ,     ,       , 46 ,54.12% ,   ,
   86 ,     ,       , 46 ,53.49% ,   ,
   87 ,     ,       , 46 ,52.87% ,   ,
   88 ,     ,       , 46 ,52.27% ,   ,
   89 ,     ,       , 46 ,51.69% ,   ,
   90 ,     ,       , 46 ,51.11% ,   ,
   91 ,     ,       , 46 ,50.55% ,   ,
   92 ,     ,       , 46 ,50.00% ,   ,
   93 ,     ,       , 47 ,50.54% ,   ,
   94 ,     ,       , 48 ,51.06% ,   ,
   95 ,     ,       , 48 ,50.53% ,   ,
